movie,release_date,production_budget,opening_weekend_us,domestic_box_office,worldwide_box_office
Iron Man,2008-04-30,186000000,102118668,318604126,584877827
The Incredible Hulk,2008-06-13,137500000,55414050,134806913,265573859
Iron Man 2,2010-04-29,170000000,128122480,312433331,621156389
Thor,2011-04-29,150000000,65723338,181030624,449326618
Captain America: The First Avenger,2011-07-22,140000000,65058524,176654505,370569776
The Avengers,2012-04-25,225000000,207438708,623357910,1515100211
Iron Man 3,2013-04-24,200000000,174144585,408992272,1214630956
Thor: The Dark World,2013-10-30,150000000,85737841,206362140,644602516
Captain America: The Winter Soldier,2014-03-28,170000000,95023721,259746958,714401889
Guardians of the Galaxy,2014-07-31,170000000,94320883,333714112,770882395
Avengers: Age of Ultron,2015-04-22,365000000,191271109,459005868,1395316979
Ant-Man,2015-07-14,130000000,57225526,180202163,518858449
Captain America: Civil War,2016-04-22,250000000,179139142,408084349,1151899586
Doctor Strange,2016-10-24,165000000,85058311,232641920,676343174
Guardians of the Galaxy Vol 2,2017-04-28,200000000,146510104,389813101,869087963
Spider-Man: Homecoming,2017-07-05,175000000,117027503,334580976,878852749
Thor: Ragnarok,2017-10-25,180000000,122744989,315058289,850482778
Black Panther,2018-02-13,200000000,202003951,700059566,1334157082
Avengers: Infinity War,2018-04-25,300000000,257698183,678815482,2048158241
Ant-Man and the Wasp,2018-07-03,130000000,75812205,216648740,623144660
Captain Marvel,2019-03-06,175000000,153433423,426829839,1129576094
Avengers: Endgame,2019-04-23,400000000,357115007,858373000,2717503922
Spider-Man: Far From Home,2019-06-27,160000000,92579212,391362492,1132298674
Black Widow,2021-07-07,200000000,80366312,183651655,379751131
Shang-Chi and the Legend of the Ten Rings,2021-09-01,150000000,75388688,224543292,432233010
Eternals,2021-11-03,200000000,71297219,164870264,402064929
Spider-Man: No Way Home,2021-12-14,200000000,260138569,814811535,1921206586
Doctor Strange in the Multiverse of Madness,2022-05-04,200000000,187420998,411331607,955775804
Thor: Love and Thunder,2022-07-01,250000000,144165107,343256830,760928081
Black Panther: Wakanda Forever,2022-11-09,250000000,181339761,453829060,859208836
Ant-Man and the Wasp: Quantumania,2023-02-15,200000000,106109650,214504909,476071180
Guardians of the Galaxy Vol 3,2023-05-03,250000000,118414021,358995815,845555777
The Marvels,2023-11-08,270000000,46110859,84500223,206136825
Deadpool & Wolverine,2024-07-24,200000000,211435291,636745858,1338073645
Captain America: Brave New World,2025-02-12,180000000,88842603,200500001,415101577
Thunderbolts*,2025-04-30,180000000,74300608,190274328,382436917
The Fantastic Four: First Steps,2025-07-23,200000000,117644828,274286610,521858728
