release_year,movie_count,total_worldwide_revenue_m,avg_worldwide_revenue_m
2008,2,850.4516860000001,425.22584300000005
2010,1,621.156389,621.156389
2011,2,819.896394,409.948197
2012,1,1515.100211,1515.100211
2013,2,1859.233472,929.616736
2014,2,1485.2842839999998,742.6421419999999
2015,2,1914.175428,957.087714
2016,2,1828.24276,914.12138
2017,3,2598.42349,866.1411633333333
2018,3,4005.4599829999997,1335.1533276666667
2019,3,4979.37869,1659.7928966666666
2021,4,3135.2556560000003,783.8139140000001
2022,3,2575.912721,858.6375736666668
2023,3,1527.763782,509.254594
2024,1,1338.073645,1338.073645
2025,3,1319.397222,439.799074
